rely,data,cplx,time,stor,turn,acap,aexp,lexp,modp,tool,sced,loc,actual
0.88,1.16,0.7,1.0,1.06,1.07,1.19,1.13,1.0,1.24,1.1,1.04,4.736198448394496,7.621195162809845
0.88,1.16,0.85,1.0,1.06,1.07,1.0,0.91,0.95,1.1,1.0,1.0,5.683579767338681,7.3783837129967145
1.0,1.16,0.85,1.0,1.0,0.94,0.86,0.82,0.95,0.91,0.91,1.0,4.890349128221754,5.497168225293202
0.75,1.16,0.7,1.0,1.0,1.0,1.19,0.91,0.95,1.24,1.0,1.04,4.110873864173311,5.484796933490655
0.88,0.94,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.24,1.0,1.0,2.833213344056216,3.5263605246161616
0.75,1.0,0.85,1.0,1.21,1.0,1.46,1.0,0.95,1.24,1.1,1.0,1.6094379124341003,3.784189633918261
0.75,1.0,1.0,1.0,1.0,0.87,1.0,1.0,0.95,0.91,0.91,1.0,2.066862759472976,2.1972245773362196
1.15,0.94,1.3,1.66,1.56,1.0,0.71,0.91,1.14,1.1,1.1,1.08,3.1354942159291497,6.98100574072173
1.15,0.94,1.3,1.3,1.21,1.0,0.86,1.0,1.07,0.91,1.0,1.0,3.4339872044851463,6.049733455231958
1.4,0.94,1.3,1.11,1.56,1.07,0.86,0.82,1.0,1.0,1.0,1.0,3.4011973816621555,5.7745515455444085
1.4,0.94,1.3,1.11,1.56,1.07,0.86,0.82,1.0,1.0,1.0,1.0,3.4965075614664802,5.389071729816501
1.15,0.94,1.3,1.11,1.06,1.0,0.86,0.82,0.95,0.91,1.0,1.08,3.6375861597263857,5.308267697401205
1.15,0.94,1.3,1.11,1.06,1.0,0.71,1.0,1.0,0.82,1.0,1.0,3.258096538021482,4.382026634673881
1.15,0.94,1.65,1.3,1.56,1.0,0.86,1.0,1.07,1.1,1.24,1.23,1.3862943611198906,4.110873864173311
1.4,0.94,1.3,1.3,1.06,0.87,0.86,1.13,1.14,0.91,1.0,1.23,1.589235205116581,4.127134385045092
1.4,1.0,1.3,1.3,1.56,0.87,0.86,1.0,1.0,1.0,1.0,1.0,1.9600947840472698,3.713572066704308
1.4,1.0,1.3,1.3,1.56,0.87,0.86,0.82,1.0,1.0,1.0,1.0,1.5260563034950492,2.302585092994046
1.15,1.16,1.15,1.3,1.21,1.07,0.86,1.0,1.0,1.24,1.1,1.08,5.764877574016012,7.789247505313597
1.15,1.08,1.0,1.11,1.21,0.94,0.71,0.91,1.0,0.91,0.91,1.0,5.764877574016012,7.789247505313597
1.4,1.08,1.3,1.11,1.21,1.07,0.71,0.82,1.07,1.24,1.0,1.08,5.703782474656201,7.789247505313597
1.0,1.16,1.15,1.06,1.14,0.87,0.86,1.0,1.0,0.91,0.91,1.0,5.53338948872752,7.789247505313597
1.15,1.0,1.0,1.27,1.06,1.0,0.86,0.82,1.0,0.91,1.0,1.23,4.77912349311153,6.586171654854675
1.15,1.0,1.0,1.08,1.06,1.0,0.86,0.82,1.0,1.0,1.0,1.23,4.356708826689592,6.29156913955832
0.88,1.0,0.85,1.06,1.06,0.87,1.0,1.29,0.95,0.82,0.83,1.0,4.51085950651685,6.118097198041348
1.15,1.16,1.3,1.15,1.06,0.87,0.86,1.0,1.0,0.82,0.91,1.08,3.6635616461296463,6.261491684321042
0.94,1.0,0.85,1.07,1.06,1.07,0.86,1.0,1.0,0.91,1.1,1.08,3.8918202981106265,5.961005339623274
1.15,0.94,1.15,1.35,1.21,0.87,1.0,1.0,1.0,0.82,1.1,1.08,2.341805806147327,4.48863636973214
1.15,1.08,1.3,1.11,1.21,1.07,0.86,1.0,1.07,1.1,1.1,1.0,2.6390573296152584,4.59511985013459
0.88,1.0,1.0,1.0,1.0,1.0,1.1,1.29,1.0,0.91,0.91,1.23,1.144222799920162,2.1162555148025524
0.88,1.0,1.0,1.0,1.0,1.0,1.0,1.29,1.0,0.91,0.91,1.23,1.091923300517313,1.9315214116032138
1.4,1.08,1.0,1.48,1.56,1.07,0.86,0.82,1.07,1.0,1.0,1.0,4.143134726391533,6.96979066990159
0.88,1.08,0.85,1.0,1.0,1.0,0.71,0.82,1.0,1.1,1.1,1.0,5.764877574016012,6.555356891810665
1.4,1.08,1.3,1.48,1.56,0.94,0.86,0.82,1.0,0.91,0.91,1.0,3.7612001156935624,6.406879986069314
1.15,1.08,1.0,1.06,1.0,0.87,1.0,1.0,1.0,0.91,1.1,1.23,3.1780538303479458,5.442417710521793
0.75,0.94,1.3,1.06,1.21,1.0,1.0,0.91,1.0,1.24,1.24,1.0,2.6390573296152584,4.418840607796598
0.88,1.05,0.81,1.0,1.0,0.87,1.19,1.0,0.95,1.0,0.91,1.04,2.772588722239781,4.02535169073515
0.88,0.94,0.7,1.0,1.06,1.0,0.86,0.82,1.0,1.0,1.0,1.0,4.110873864173311,3.871201010907891
1.0,1.0,1.15,1.0,1.0,0.87,0.71,0.91,0.95,0.82,0.91,1.0,2.772588722239781,2.5649493574615367
1.0,1.0,1.15,1.0,1.0,1.0,0.71,0.82,0.95,0.91,1.1,1.0,1.9740810260220096,2.1972245773362196
1.0,0.94,1.3,1.0,1.0,0.87,0.86,0.82,1.0,1.1,1.0,1.0,1.3862943611198906,2.1972245773362196
0.88,0.94,1.0,1.0,1.0,0.87,1.0,0.82,0.95,0.91,0.91,1.0,1.840549633397487,1.9459101490553132
0.88,1.04,1.07,1.0,1.06,1.07,0.86,1.0,0.95,0.95,0.95,1.04,3.8394523125933104,3.828641396489095
1.0,1.04,1.07,1.0,1.21,1.07,0.86,1.0,0.95,1.0,1.0,1.04,3.3877743613300146,4.430816798843313
0.88,1.04,1.07,1.06,1.21,1.07,1.0,1.0,0.95,1.1,1.0,1.04,3.4531571205928664,4.477336814478207
0.88,1.04,1.07,1.0,1.06,1.07,1.0,1.0,0.95,1.0,0.95,1.04,3.58351893845611,4.672828834461906
0.88,1.04,1.07,1.0,1.06,1.07,1.0,1.0,0.95,1.0,1.0,1.04,4.30406509320417,4.844187086458591
0.75,0.94,1.3,1.0,1.0,0.87,0.71,0.82,1.07,1.1,1.0,1.04,3.1780538303479458,3.6109179126442243
0.88,0.94,0.85,1.0,1.0,1.0,1.19,0.91,0.95,1.1,1.0,1.04,5.764877574016012,7.149131598557407
1.0,1.0,0.85,1.0,1.0,0.87,0.71,1.0,1.0,0.82,0.91,1.0,4.5217885770490405,5.056245805348308
1.15,1.0,1.0,1.3,1.21,0.87,0.86,1.0,1.0,1.0,1.0,1.0,3.2188758248682006,5.176149732573829
0.88,1.0,1.0,1.0,1.0,1.15,1.19,1.0,0.95,1.24,1.1,1.04,2.3978952727983707,4.812184355372417
0.88,0.94,0.85,1.0,1.06,1.0,1.0,1.0,1.07,1.24,1.1,1.0,2.2192034840549946,3.7376696182833684
0.88,0.94,1.15,1.11,1.21,1.0,0.71,1.0,1.07,1.0,1.1,1.08,1.840549633397487,2.70805020110221
1.0,0.94,1.0,1.0,1.06,0.87,1.0,0.82,0.95,0.91,1.1,1.0,1.6863989535702288,3.044522437723423
0.88,0.94,0.7,1.0,1.0,0.87,0.86,0.82,0.95,1.1,1.0,1.0,1.9878743481543455,2.9444389791664403
1.15,0.94,1.3,1.3,1.21,1.0,0.86,0.91,1.07,1.1,1.1,1.08,3.332204510175204,6.8658910748834385
1.0,0.94,1.15,1.11,1.21,1.0,1.0,1.0,1.07,1.1,1.1,1.23,2.8903717578961645,5.472270673671475
1.4,0.94,1.3,1.66,1.21,1.0,0.71,0.82,0.95,0.91,1.0,1.0,3.258096538021482,4.875197323201151
1.0,0.94,1.15,1.06,1.06,0.87,1.0,1.0,1.0,0.91,1.0,1.0,3.1780538303479458,4.2626798770413155
1.15,0.94,1.3,1.11,1.06,1.0,0.86,1.13,1.07,1.1,1.1,1.08,2.0412203288596382,4.060443010546419
1.0,0.94,1.15,1.0,1.0,0.87,0.86,1.0,1.0,0.82,1.0,1.0,3.367295829986474,3.9318256327243257
0.88,0.94,1.3,1.11,1.21,1.0,0.78,0.82,1.14,0.91,1.24,1.0,2.312535423847214,3.6635616461296463
1.0,0.94,1.15,1.0,1.0,0.87,0.71,0.82,1.0,0.82,1.0,1.0,2.3978952727983707,2.772588722239781
